Source; Target; Type
0;1; directed
2;3; directed
4;1; directed
5;6; directed
7;6; directed
8;9; directed
8;10; directed
11;12; directed
8;13; directed
8;14; directed
8;15; directed
8;16; directed
8;13; directed
8;17; directed
18;17; directed
19;20; directed
18;21; directed
7;22; directed
8;23; directed
8;21; directed
24;20; directed
25;6; directed
26;27; directed
28;24; directed
29;30; directed
29;30; directed
29;30; directed
29;30; directed
31;32; directed
33;34; directed
33;32; directed
35;36; directed
37;38; directed
35;39; directed
40;14; directed
40;10; directed
40;13; directed
40;12; directed
40;38; directed
40;41; directed
40;42; directed
8;39; directed
43;44; directed
45;21; directed
43;45; directed
46;45; directed
47;45; directed
8;48; directed
35;49; directed
43;50; directed
31;51; directed
35;31; directed
52;53; directed
35;54; directed
55;56; directed
35;31; directed
35;57; directed
43;58; directed
50;57; directed
43;13; directed
35;55; directed
35;59; directed
55;60; directed
61;49; directed
35;59; directed
31;58; directed
35;59; directed
35;49; directed
40;62; directed
40;63; directed
40;64; directed
40;55; directed
40;60; directed
40;42; directed
40;51; directed
40;57; directed
40;58; directed
8;63; directed
8;57; directed
11;65; directed
31;57; directed
11;65; directed
66;31; directed
40;31; directed
66;31; directed
31;67; directed
67;55; directed
66;31; directed
66;31; directed
67;60; directed
66;31; directed
66;7; directed
68;66; directed
69;50; directed
43;49; directed
66;31; directed
70;57; directed
70;71; directed
50;57; directed
71;70; directed
72;73; directed
73;72; directed
72;73; directed
73;72; directed
33;57; directed
43;74; directed
43;74; directed
8;57; directed
72;73; directed
8;75; directed
31;76; directed
40;75; directed
40;77; directed
78;47; directed
78;62; directed
40;79; directed
78;57; directed
40;80; directed
78;69; directed
18;81; directed
18;71; directed
11;31; directed
18;63; directed
18;57; directed
18;57; directed
18;57; directed
18;51; directed
82;58; directed
50;69; directed
37;57; directed
40;57; directed
62;78; directed
40;62; directed
66;58; directed
40;62; directed
40;57; directed
43;83; directed
18;84; directed
18;71; directed
2;83; directed
18;7; directed
18;57; directed
83;85; directed
82;57; directed
35;59; directed
85;47; directed
86;62; directed
35;87; directed
86;7; directed
35;88; directed
89;55; directed
35;89; directed
35;83; directed
90;91; directed
35;92; directed
90;91; directed
35;89; directed
90;91; directed
35;59; directed
35;83; directed
50;57; directed
93;83; directed
35;83; directed
93;83; directed
93;83; directed
68;83; directed
68;94; directed
86;7; directed
2;83; directed
2;83; directed
47;85; directed
83;7; directed
90;80; directed
95;87; directed
7;83; directed
83;7; directed
90;46; directed
96;97; directed
97;96; directed
96;97; directed
47;96; directed
98;7; directed
98;7; directed
96;47; directed
99;100; directed
101;96; directed
96;47; directed
96;101; directed
100;99; directed
47;57; directed
96;47; directed
102;71; directed
102;57; directed
103;58; directed
103;58; directed
102;71; directed
104;55; directed
105;71; directed
104;60; directed
104;7; directed
104;32; directed
104;106; directed
104;80; directed
43;101; directed
35;104; directed
35;103; directed
33;107; directed
33;108; directed
35;109; directed
110;111; directed
33;57; directed
35;112; directed
35;108; directed
78;108; directed
113;104; directed
100;114; directed
55;89; directed
55;104; directed
55;67; directed
28;57; directed
86;57; directed
43;115; directed
